"id","ime","tip","pol","zemjaPoteklo"
1,"Sasha Son","Solo","Male","Lithuania"
2,"Noa and Mira Awad","Group","Female","Israel"
3,"Patricia Kaas","Solo","Female","France"
4,"Malena Ernman","Solo","Female","Sweden"
5,"Igor Cukrov feat. Andrea","Group","Both","Croatia"
6,"Flor-de-Lis","Group","Both","Portugal"
7,"Yohanna","Solo","Female","Iceland"
8,"Sakis Rouvas","Solo","Male","Greece"
9,"Inga and Anush","Group","Female","Armenia"
10,"Anastasiya Prikhodko","Solo","Female","Russia"
11,"AySel and Arash","Group","Both","Azerbaijan"
12,"Regina","Group","Male","Bosnia and Herzegovina"
13,"Nelly Ciobanu","Solo","Female","Moldova"
14,"Chiara","Solo","Female","Malta"
15,"Urban Symphony","Solo","Female","Estonia"
16,"Niels Brinck","Solo","Male","Denmark"
17,"Alex Swings Oscar Sings!","Solo","Male","Germany"
18,"Hadise","Solo","Female","Turkey"
19,"Kejsi Tola","Solo","Female","Albania"
20,"Alexander Rybak","Solo","Male","Norway"
21,"Svetlana Loboda","Solo","Female","Ukraine"
22,"Elena","Solo","Female","Romania"
23,"Jade Ewen","Solo","Female","United Kingdom"
24,"Waldo's People","Group","Both","Finland"
25,"Soraya Arnelas","Solo","Female","Spain"
26,"Nico and Vlad","Group","Both","Romania"
27,"Andy Abraham","Solo","Male","United Kingdom"
28,"Olta Boka","Solo","Female","Albania"
29,"No Angels","Group","Female","Germany"
30,"Sirusho","Solo","Female","Armenia"
31,"Laka","Solo","Male","Bosnia and Herzegovina"
32,"Boaz Ma'uda","Solo","Male","Israel"
33,"Terasbetoni","Group","Male","Finland"
34,"Kraljevi Ulice and 75 cents","Group","Both","Croatia"
35,"Isis Gee","Solo","Female","Poland"
36,"Euroband","Group","Both","Iceland"
37,"Mor ve Otesi","Group","Male","Turkey"
38,"Vania Fernandes","Solo","Female","Portugal"
39,"Pirates of the Sea","Group","Both","Latvia"
40,"Charlotte Perrelli","Solo","Female","Sweden"
41,"Simon Mathew","Solo","Male","Denmark"
42,"Diana Gurtskaya","Solo","Female","Georgia"
43,"Ani Lorak","Solo","Female","Ukraine"
44,"Sebastien Tellier","Solo","Male","France"
45,"Elnur and Samir","Group","Both","Azerbaijan"
46,"Kalomira","Solo","Female","Greece"
47,"Rodolfo Chikilicuatre","Solo","Male","Spain"
48,"Jelena Tomasevic","Solo","Female","Serbia"
49,"Dima Bilan","Solo","Male","Russia"
50,"Maria Haukaas Storeng","Solo","Female","Norway"
51,"Marija","Solo","Female","Bosnia and Herzegovina"
52,"D'NASH","Group","Male","Spain"
53,"Dmitry Koldun","Solo","Male","Belarus"
54,"Dervish","Group","Both","Ireland"
55,"Hanna Pakarinen","Solo","Female","Finland"
56,"Karolina","Solo","Female","Macedonia"
57,"Alenka Gotar","Solo","Female","Slovenia"
58,"Magdi Ruzsa","Solo","Female","Hungary"
59,"4Fun","Group","Both","Lithuania"
60,"Sarbel","Solo","Male","Greece"
61,"Sopho","Solo","Female","Georgia"
62,"The Ark","Group","Male","Sweden"
63,"Les Fatals Picards","Group","Male","France"
64,"Bonaparti.lv","Group","Male","Latvia"
65,"Serebro","Group","Female","Russia"
66,"Roger Cicero","Solo","Male","Germany"
67,"Marija Serifovic","Solo","Female","Serbia"
68,"Verka Serduchka","Solo","Male","Ukraine"
69,"Scooch","Group","Both","United Kingdom"
70,"Todomondo","Group","Male","Romania"
71,"Elitsa Todorova and Stoyan Yankoulov","Group","Both","Bulgaria"
72,"Kenan Dogulu","Solo","Male","Turkey"
73,"Hayko","Solo","Male","Armenia"
74,"Natalia Barbu","Solo","Female","Moldova"
75,"six4one","Group","Both","Switzerland"
76,"Arsenium feat. Natalia Gordienko & Connect-R","Group","Both","Moldova"
77,"Eddie Butler","Solo","Male","Israel"
78,"Vocal Group Cosmos","Group","Male","Latvia"
79,"Christine Guldbrandsen","Solo","Female","Norway"
80,"Las Ketchup","Group","Female","Spain"
81,"Fabrizio Faniello","Solo","Male","Malta"
82,"Texas Lightning","Group","Both","Germany"
83,"Sidsel Ben Semmane","Solo","Female","Denmark"
84,"Elena Risteska","Solo","Female","Macedonia"
85,"Mihai Traistariu","Solo","Male","Romania"
86,"Hari Mata Hari","Group","Male","Bosnia and Herzegovina"
87,"LT United","Group","Male","Lithuania"
88,"Daz Sampson","Solo","Male","United Kingdom"
89,"Anna Vissi","Solo","Female","Greece"
90,"Lordi","Group","Male","Finland"
91,"Tina Karol","Solo","Female","Ukraine"
92,"Virginie Pouchain","Solo","Female","France"
93,"Severina","Solo","Female","Croatia"
94,"Brian Kennedy","Solo","Male","Ireland"
95,"Carola","Solo","Female","Sweden"
96,"Sibel Tuzun","Solo","Female","Turkey"
97,"Andre","Solo","Male","Armenia"
98,"NOX","Group","Both","Hungary"
99,"Javine","Solo","Female","United Kingdom"
100,"Luminita Anghel and Sistem","Solo","Female","Romania"
101,"Wig Wam","Group","Male","Norway"
102,"Gulseren","Solo","Female","Turkey"
103,"Zdob si Zdub","Group","Male","Moldova"
104,"Ledina Celo","Solo","Female","Albania"
105,"Constantinos Christoforou","Solo","Male","Cyprus"
106,"Son de Sol","Group","Female","Spain"
107,"Shiri Maimon","Solo","Female","Israel"
108,"No Name","Group","Male","Serbia and Montenegro"
109,"Jakob Sveistrup","Solo","Male","Denmark"
110,"Martin Stenmarck","Solo","Male","Sweden"
111,"Martin Vucic","Solo","Male","Macedonia"
112,"GreenJolly","Group","Male","Ukraine"
113,"Gracia Baur","Solo","Female","Germany"
114,"Boris Novkovic","Solo","Male","Croatia"
115,"Helena Paparizou","Solo","Female","Greece"
116,"Natalia Podolskaya","Solo","Female","Russia"
117,"Feminnem","Group","Female","Bosnia and Herzegovina"
118,"Vanilla Ninja","Group","Female","Switzerland"
119,"Walters and Kazha","Group","Male","Latvia"
120,"Ortal","Solo","Female","France"
121,"Ramon","Solo","Male","Spain"
122,"Tie Break","Group","Male","Austria"
123,"Knut Anders Sorum","Solo","Male","Norway"
124,"Jonatan Cerrada","Solo","Male","France"
125,"Zeljko Joksimovic","Solo","Male","Serbia and Montenegro"
126,"Julie and Ludwig","Group","Both","Malta"
127,"Re-Union","Group","Male","Netherlands"
128,"Max","Solo","Male","Germany"
129,"Anjeza Shahini","Solo","Female","Albania"
130,"Ruslana","Solo","Female","Ukraine"
131,"Ivan Mikulic","Solo","Male","Croatia"
132,"Deen","Solo","Male","Bosnia and Herzegovina"
133,"Xandee","Solo","Female","Belgium"
134,"Julia Savicheva","Solo","Female","Russia"
135,"Tose Proeski","Solo","Male","Macedonia"
136,"Jonsi","Solo","Male","Iceland"
137,"Chris Doran","Solo","Male","Ireland"
138,"Blue Cafe","Group","Both","Poland"
139,"James Fox","Solo","Male","United Kingdom"
140,"Lisa Andreas","Solo","Female","Cyprus"
141,"Athena","Group","Male","Turkey"
142,"Sanda","Solo","Female","Romania"
143,"Lena Philipsson","Solo","Female","Sweden"
144,"Birgitta Haukdal",,,"Iceland"
145,"Alf Poier",,,"Austria"
146,"Mickey Joe Harte",,,"Ireland"
147,"Sertab Erener",,,"Turkey"
148,"Lynn Chircop",,,"Malta"
149,"Mija Martina",,,"Bosnia and Herzegovina"
150,"Rita Guerra",,,"Portugal"
151,"Claudia Beni",,,"Croatia"
152,"Stelios Konstantas",,,"Cyprus"
153,"Lou",,,"Germany"
154,"t.A.T.u.",,,"Russia"
155,"Beth",,,"Spain"
156,"Lior Narkis",,,"Israel"
157,"Esther Hart",,,"Netherlands"
158,"Jemini",,,"United Kingdom"
159,"Oleksandr Ponomaryov",,,"Ukraine"
160,"Mando",,,"Greece"
161,"Jostein Hasselgard",,,"Norway"
162,"Louisa Baileche",,,"France"
163,"Ich Troje",,,"Poland"
164,"F.L.Y.",,,"Latvia"
165,"Urban Trad",,,"Belgium"
166,"Ruffus",,,"Estonia"
167,"Nicola",,,"Romania"
168,"Fame",,,"Sweden"
169,"Karmen Stavec",,,"Slovenia"
170,"One",,,"Cyprus"
171,"Jessica Garlick",,,"United Kingdom"
172,"Manuel Ortega",,,"Austria"
173,"Michalis Rakintzis",,,"Greece"
174,"Rosa",,,"Spain"
175,"Vesna Pisarovic",,,"Croatia"
176,"Prime Minister",,,"Russia"
177,"Sahlene",,,"Estonia"
178,"Karolina Goceva",,,"Macedonia"
179,"Sarit Hadad",,,"Israel"
180,"Francine Jordi",,,"Switzerland"
181,"Afro-dite",,,"Sweden"
182,"Laura Voutilainen",,,"Finland"
183,"Malene",,,"Denmark"
184,"Maja Tatic",,,"Bosnia and Herzegovina"
185,"Sergio & The Ladies",,,"Belgium"
186,"Sandrine Francois",,,"France"
187,"Corinna May",,,"Germany"
188,"Buket Bengisu & Group Safir",,,"Turkey"
189,"Ira Losco",,,"Malta"
190,"Monica Anghel & Marcel Pavel",,,"Romania"
191,"Sestre",,,"Slovenia"
192,"Marie N",,,"Latvia"
193,"Aivaras",,,"Lithuania"
194,"Michelle",,,"Netherlands"
195,"Two Tricky",,,"Iceland"
196,"Nino Prses",,,"Bosnia and Herzegovina"
197,"Haldor L<U+00E6>greid",,,"Norway"
198,"Tal Sondak",,,"Israel"
199,"Mumiy Troll",,,"Russia"
200,"Friends",,,"Sweden"
201,"SKAMP",,,"Lithuania"
202,"Arnis Mednis",,,"Latvia"
203,"Vanna",,,"Croatia"
204,"MTM",,,"Portugal"
205,"Gary O'Shaughnessy",,,"Ireland"
206,"David Civera",,,"Spain"
207,"Natasha St-Pier",,,"France"
208,"Sedat Yuce",,,"Turkey"
209,"Lindsay Dracass",,,"United Kingdom"
210,"Nusa Derenda",,,"Slovenia"
211,"PIASEK",,,"Poland"
212,"Tanel Padar, Dave Benton, 2XL",,,"Estonia"
213,"Antique",,,"Greece"
214,"Rollo & King",,,"Denmark"
215,"PingPong",,,"Israel"
216,"Linda Wagenmakers",,,"Netherlands"
217,"Nicki French",,,"United Kingdom"
218,"Ines",,,"Estonia"
219,"Sofia Mestari",,,"France"
220,"Taxi",,,"Romania"
221,"Claudette Pace",,,"Malta"
222,"Charmed",,,"Norway"
223,"Alsou",,,"Russia"
224,"Nathalie Sorce",,,"Belgium"
225,"Voice",,,"Cyprus"
226,"August & Telma",,,"Iceland"
227,"Serafin Zubiri",,,"Spain"
228,"Olsen Brothers",,,"Denmark"
229,"Stefan Raab",,,"Germany"
230,"Jane Bogaert",,,"Switzerland"
231,"Goran Karan",,,"Croatia"
232,"Roger Pontare",,,"Sweden"
233,"XXL",,,"Macedonia"
234,"Nina Astrom",,,"Finland"
235,"Brainstorm",,,"Latvia"
236,"P<U+0131>nar Ayhan & The SOS",,,"Turkey"
237,"Eamonn Toal",,,"Ireland"
238,"The Rounder Girls",,,"Austria"
239,"Aiste",,,"Lithuania"
240,"Vanessa Chinitor",,,"Belgium"
241,"Lydia",,,"Spain"
242,"Doris Dragovic",,,"Croatia"
243,"Precious",,,"United Kingdom"
244,"Darja Svajger",,,"Slovenia"
245,"Tugba Onal",,,"Turkey"
246,"Stig Van Eijk",,,"Norway"
247,"Trine Jepsen & Michael Teschl",,,"Denmark"
248,"Nayah",,,"France"
249,"Marlayne",,,"Netherlands"
250,"Mietek Szczesniak",,,"Poland"
251,"Selma",,,"Iceland"
252,"Marlain",,,"Cyprus"
253,"Charlotte Nilsson",,,"Sweden"
254,"Rui Bandeira",,,"Portugal"
255,"The Mullans",,,"Ireland"
256,"Bobbie Singer",,,"Austria"
257,"Eden",,,"Israel"
258,"Times Three",,,"Malta"
259,"Surpriz",,,"Germany"
260,"Dino & Beatrice",,,"Bosnia and Herzegovina"
261,"Evelin Samuel & Camille",,,"Estonia"
262,"Danijela",,,"Croatia"
263,"Thalassa",,,"Greece"
264,"Marie Line",,,"France"
265,"Mikel Herzog",,,"Spain"
266,"Gunvor",,,"Switzerland"
267,"Katarina Hasprova",,,"Slovakia"
268,"Sixteen",,,"Poland"
269,"Dana International",,,"Israel"
270,"Guildo Horn",,,"Germany"
271,"Charlie",,,"Hungary"
272,"Vili Resnik",,,"Slovenia"
273,"Dawn Martin",,,"Ireland"
274,"Alma Lusa",,,"Portugal"
275,"Malina Olinescu",,,"Romania"
276,"Imaani",,,"United Kingdom"
277,"Michalis Hadjiyiannis",,,"Cyprus"
278,"Edsilia",,,"Netherlands"
279,"Jill Johnson",,,"Sweden"
280,"Melanie Cohl",,,"Belgium"
281,"Edea",,,"Finland"
282,"Lars Fredriksen",,,"Norway"
283,"Koit Toome",,,"Estonia"
284,"Tuzmen",,,"Turkey"
285,"Vlado Janevski",,,"Macedonia"
286,"Andrea Demirovic",,,"Montenegro"
287,"Gipsy.cz",,,"Czech Republic"
288,"Patrick Ouchene",,,"Belgium"
289,"Petr Elfimov",,,"Belarus"
290,"Susanne Georgi",,,"Andorra"
291,"Lovebugs",,,"Switzerland"
292,"Krassimir Avramov",,,"Bulgaria"
293,"Next Time",,,"Macedonia"
294,"Sinead Mulvey and Black Daisy",,,"Ireland"
295,"Intars Busulis",,,"Latvia"
296,"Marko Kon and Milaan",,,"Serbia"
297,"Lidia Kopania",,,"Poland"
298,"Christina Metaxa",,,"Cyprus"
299,"Kamil Mikulcik and Nela",,,"Slovakia"
300,"Quartissimo feat. Martina",,,"Slovenia"
301,"Zoli Adok",,,"Hungary"
302,"The Toppers",,,"Netherlands"
303,"Stefan Filipovic",,,"Montenegro"
304,"Kreisiraadio",,,"Estonia"
305,"Geta Burlacu",,,"Moldova"
306,"Miodio",,,"San Marino"
307,"Ishtar",,,"Belgium"
308,"Rebeka Dremelj",,,"Slovenia"
309,"Dustin the Turkey",,,"Ireland"
310,"Gisela",,,"Andorra"
311,"Hind",,,"Netherlands"
312,"Jeronimas Milius",,,"Lithuania"
313,"Paolo Meneguzzi",,,"Switzerland"
314,"Tereza Kerndlova",,,"Czech Republic"
315,"Ruslan Alekhno",,,"Belarus"
316,"Deep Zone and Balthazar",,,"Bulgaria"
317,"Csezy",,,"Hungary"
318,"Morena",,,"Malta"
319,"Evdokia Kadi",,,"Cyprus"
320,"Tamara, Vrcak and Adrijan",,,"Macedonia"
321,"Teapacks",,,"Israel"
322,"Evridiki",,,"Cyprus"
323,"Koldun",,,"Belarus"
324,"Eirikur Hauksson",,,"Iceland"
325,"Stevan Faddy",,,"Montenegro"
326,"DJ Bobo",,,"Switzerland"
327,"Edsilia Rombley",,,"Netherlands"
328,"Frederik Ndoci",,,"Albania"
329,"DQ",,,"Denmark"
330,"Dragonfly feat. Dado Topic",,,"Croatia"
331,"The Jet Set",,,"Poland"
332,"Kabat",,,"Czech Republic"
333,"Sabrina",,,"Portugal"
334,"Guri Schanke",,,"Norway"
335,"Olivia Lewis",,,"Malta"
336,"Anonymous",,,"Andorra"
337,"Gerli Padar",,,"Estonia"
338,"The KMG's",,,"Belgium"
339,"Eric Papilaya",,,"Austria"
340,"Mariana Popova",,,"Bulgaria"
341,"Anzej Dezan",,,"Slovenia"
342,"Jenny",,,"Andorra"
343,"Polina Smolova",,,"Belarus"
344,"Luiz Ejlli",,,"Albania"
345,"Kate Ryan",,,"Belgium"
346,"Annet Artani",,,"Cyprus"
347,"Severine Ferrer",,,"Monaco"
348,"Ich Troje feat. Real McCoy",,,"Poland"
349,"Treble",,,"Netherlands"
350,"Nonstop",,,"Portugal"
351,"Sandra Oxenryd",,,"Estonia"
352,"Silvia Night",,,"Iceland"
353,"Global.Kryner",,,"Austria"
354,"Laura and The Lovers",,,"Lithuania"
355,"2B",,,"Portugal"
356,"Lise Darly",,,"Monaco"
357,"Angelica Agurbash",,,"Belarus"
358,"Glennis Grace",,,"Netherlands"
359,"Nuno Resende",,,"Belgium"
360,"Suntribe",,,"Estonia"
361,"Geir Ronning",,,"Finland"
362,"Marian van de Wal",,,"Andorra"
363,"Boris Novkovic feat. Lado Members",,,"Croatia"
364,"Kaffe",,,"Bulgaria"
365,"Donna and Joe",,,"Ireland"
366,"Omar Naber",,,"Slovenia"
367,"Ivan and Delfin",,,"Poland"
368,"Jari Sillanpaa",,,"Finland"
369,"Aleksandra and Konstantin",,,"Belarus"
370,"Piero and the MusicStars",,,"Switzerland"
371,"Fomins and Kleins",,,"Latvia"
372,"David D'Or",,,"Israel"
373,"Marta Roure",,,"Andorra"
374,"Sofia Vitoria",,,"Portugal"
375,"Maryon",,,"Monaco"
376,"Linas and Simona",,,"Lithuania"
377,"Platin",,,"Slovenia"
378,"Neiokoso",,,"Estonia"
379,"Thomas Thordarson",,,"Denmark"
